transcript_id,n,ngram,count_in_transcript,global_count,global_MI,num_speakers,num_distinct_turns,turn_span,entrained_across_turns
Max Red Cross Brief Transcript,4,crises to force adaption,2,2,30.38521677105961,1,2,10,True
Max Red Cross Brief Transcript,4,designed as performative acts,2,2,29.429539102044906,1,2,9,True
Max Red Cross Brief Transcript,4,irreconcilable difference may be,2,2,28.55571620812205,1,2,33,True
Max Red Cross Brief Transcript,4,proposing solutions to simply,2,2,28.47832617545109,1,1,0,False
Max Red Cross Brief Transcript,4,longer chains of thoughts,2,2,28.317619704038158,1,2,70,True
Max Red Cross Brief Transcript,4,perpetually subject to their,2,2,27.06328867617225,1,2,8,True
Max Red Cross Brief Transcript,3,irreconcilable difference may,2,2,21.94389422077704,1,2,33,True
Max Red Cross Brief Transcript,3,revolutionary act against,2,2,21.528856721498194,1,2,6,True
Max Red Cross Brief Transcript,3,also perpetually subject,2,2,20.621966125889674,1,2,8,True
Max Red Cross Brief Transcript,3,public choice theory,2,5,20.09589731422209,1,2,42,True
Max Red Cross Brief Transcript,3,versus sonic ecology,2,2,19.828417003357103,1,2,28,True
Max Red Cross Brief Transcript,3,relationships they seek,2,2,19.49910937810414,1,2,11,True
Max Red Cross Brief Transcript,3,reform from within,2,2,18.791891127331986,1,2,16,True
Max Red Cross Brief Transcript,3,as performative acts,2,2,17.86352080431302,1,2,9,True
Max Red Cross Brief Transcript,3,to force adaption,2,2,17.819198473327724,1,2,10,True
Max Red Cross Brief Transcript,3,crises to force,2,2,17.819198473327724,1,2,10,True
Max Red Cross Brief Transcript,3,perpetually subject to,2,2,17.819198473327724,1,2,8,True
Max Red Cross Brief Transcript,3,designed as performative,2,2,17.448483305034173,1,2,9,True
Max Red Cross Brief Transcript,3,longer chains of,2,2,17.073529501193633,1,2,70,True
Max Red Cross Brief Transcript,3,chains of thoughts,3,3,16.921526407748583,1,3,70,True
Max Red Cross Brief Transcript,3,seek to protect,3,3,16.819198473327724,1,3,11,True
Max Red Cross Brief Transcript,2,force adaption,2,2,12.55393513255186,1,2,10,True
Max Red Cross Brief Transcript,2,perpetually subject,2,2,12.55393513255186,1,2,8,True
Max Red Cross Brief Transcript,2,irreconcilable difference,2,2,11.968972631830704,1,2,33,True
Max Red Cross Brief Transcript,2,ideological consistency,2,2,11.968972631830704,1,2,1,False
Max Red Cross Brief Transcript,2,internal friction,2,2,11.55393513255186,1,2,9,True
Max Red Cross Brief Transcript,2,longer chains,2,2,11.384010131109548,1,2,70,True
Max Red Cross Brief Transcript,2,questioning whether,2,2,10.968972631830704,1,2,7,True
Max Red Cross Brief Transcript,2,side note,2,2,10.968972631830704,1,2,26,True
Max Red Cross Brief Transcript,2,revolutionary act,2,2,10.968972631830704,1,2,6,True
Max Red Cross Brief Transcript,2,austrian economics,3,3,10.746580210494256,1,3,37,True
Max Red Cross Brief Transcript,2,particularly interested,2,2,10.647044536943342,1,2,89,True
Max Red Cross Brief Transcript,2,proposing solutions,2,2,10.647044536943342,1,1,0,False
Max Red Cross Brief Transcript,2,starting points,2,2,10.55393513255186,1,2,72,True
Max Red Cross Brief Transcript,2,performative acts,2,2,10.1616177097731,1,2,9,True
Max Red Cross Brief Transcript,2,choice theory,2,5,10.120975725275754,1,2,42,True
Max Red Cross Brief Transcript,2,sonic ecology,2,2,9.968972631830704,1,2,28,True
Max Red Cross Brief Transcript,2,public choice,3,6,9.968972631830704,1,3,79,True
Max Red Cross Brief Transcript,2,lots lots,2,2,9.910078942777135,1,1,0,False
Max Red Cross Brief Transcript,2,rather than,2,5,9.746580210494256,1,2,1,False
Max Red Cross Brief Transcript,2,red cross,14,14,9.647044536943342,1,12,223,True
Max Red Cross Brief Transcript,2,attention between,2,2,9.647044536943342,1,2,1,False
Max Red Cross Brief Transcript,2,simply making,2,2,9.466472291301521,1,1,0,False
Max Red Cross Brief Transcript,2,difference may,2,2,9.384010131109548,1,2,33,True
Max Red Cross Brief Transcript,2,deep ecology,2,5,9.290900726718066,1,2,70,True
Max Red Cross Brief Transcript,2,versus sonic,2,2,9.268532913689612,1,2,28,True
Max Red Cross Brief Transcript,2,i've got,2,2,9.232007037664498,1,2,136,True
Max Red Cross Brief Transcript,2,only spaces,2,2,9.094503513914564,1,2,8,True
Max Red Cross Brief Transcript,2,go back,2,2,9.094503513914564,1,2,3,False
Max Red Cross Brief Transcript,2,our role,2,2,9.062082036222186,1,2,3,False
Max Red Cross Brief Transcript,2,power relations,2,2,8.968972631830704,1,2,1,False
Max Red Cross Brief Transcript,2,act against,2,2,8.968972631830704,1,2,6,True
Max Red Cross Brief Transcript,2,little bit,3,7,8.951899118471763,1,3,143,True
Max Red Cross Brief Transcript,2,come up,3,4,8.839689614885737,1,3,32,True
Max Red Cross Brief Transcript,2,read everything,2,2,8.746580210494256,1,2,43,True
Max Red Cross Brief Transcript,2,power structures,2,3,8.55393513255186,1,2,32,True
Max Red Cross Brief Transcript,2,said before,3,3,8.524187789157809,1,3,115,True
Max Red Cross Brief Transcript,2,reality making,2,2,8.466472291301521,1,2,7,True
Max Red Cross Brief Transcript,2,dominant system,3,3,8.357537919748356,1,2,1,False
